Webpage_id,Domain,Url,Tag,Crawled_at
1,tokopedia.com,https://tokopedia.com/mobile-apps,non-gambling,2026-04-27 11:02:37
2,blibli.com,https://blibli.com/bliblicare,non-gambling,2026-04-27 11:02:37
3,us.shein.com,https://us.shein.com/new/new-in-all-sc-0021884529.html,non-gambling,2026-04-27 11:02:38
4,blibli.com,https://seller.blibli.com/mulai-berjualan,non-gambling,2026-04-27 11:02:38
5,tokopedia.com,https://tokopedia.com/about,non-gambling,2026-04-27 11:02:38
6,blibli.com,https://blibli.com/member/order/retail,non-gambling,2026-04-27 11:02:39
7,tokopedia.com,https://seller.tokopedia.com/edu/topic/mulai-bisnis/materi-seller-baru,non-gambling,2026-04-27 11:02:39
8,us.shein.com,https://us.shein.com/sale/all-sale-sc-0051884505.html,non-gambling,2026-04-27 11:02:40
9,blibli.com,https://blibli.com/cart,non-gambling,2026-04-27 11:02:40
10,kompas.com,https://plus.kompas.com/group/kompas-max,non-gambling,2026-04-27 11:02:40
11,tokopedia.com,https://tokopedia.com/promo,non-gambling,2026-04-27 11:02:41
12,blibli.com,https://www.blibli.com/promosi,non-gambling,2026-04-27 11:02:42
13,kompas.com,https://activity.kompas.com/saved,non-gambling,2026-04-27 11:02:42
14,kompas.com,https://activity.kompas.com/liked,non-gambling,2026-04-27 11:02:42
15,kompas.com,https://activity.kompas.com/minat,non-gambling,2026-04-27 11:02:42
16,kompas.com,https://www.kompas.com/feedback,non-gambling,2026-04-27 11:02:42
17,kompas.com,https://plus.kompas.com/group/kompas-one,non-gambling,2026-04-27 11:02:42
18,us.shein.com,https://us.shein.com/recommendselection/women-clothing-sc-017172961.html,non-gambling,2026-04-27 11:02:42
19,detik.com,https://www.detik.com/terpopuler,non-gambling,2026-04-27 11:02:42
20,tokopedia.com,https://tokopedia.com/help,non-gambling,2026-04-27 11:02:42
21,blibli.com,https://www.blibli.com/promosi/payday,non-gambling,2026-04-27 11:02:43
22,detik.com,https://20.detik.com/live,non-gambling,2026-04-27 11:02:43
23,detik.com,https://news.detik.com/kolom/kirim,non-gambling,2026-04-27 11:02:43
24,kompas.com,https://www.kompas.com/global,non-gambling,2026-04-27 11:02:44
25,us.shein.com,https://us.shein.com/recommendselection/beachwear-sc-017706887.html,non-gambling,2026-04-27 11:02:44
26,blibli.com,https://www.blibli.com/digital/p/top-up-tagihan,non-gambling,2026-04-27 11:02:44
27,blibli.com,https://www.blibli.com/promosi/bliblimart-belanja-harian,non-gambling,2026-04-27 11:02:46
28,tokopedia.com,https://tokopedia.com/angsuran,non-gambling,2026-04-27 11:02:46
29,us.shein.com,https://us.shein.com/recommendselection/kids-sc-017185550.html,non-gambling,2026-04-27 11:02:46
30,blibli.com,https://www.blibli.com/promosi/belanja-handphone-elektronik,non-gambling,2026-04-27 11:02:47
31,tokopedia.com,https://www.tokopedia.com/discovery/guncang,non-gambling,2026-04-27 11:02:47
32,kompas.com,https://www.kompas.com/hype,non-gambling,2026-04-27 11:02:48
33,kompas.com,https://www.kompas.com/konsultasihukum,non-gambling,2026-04-27 11:02:48
34,kompas.com,https://www.kompas.com/cekfakta,non-gambling,2026-04-27 11:02:48
