Webpage_id,Domain,Url,Tag,Crawled_at
1,www.fiercepharma.com,https://www.fiercepharma.com,non-gambling,2026-04-26 12:02:28
2,www.fiercepharma.com,https://www.fiercepharma.com/fiercepharmacom/about-us,non-gambling,2026-04-26 12:02:30
3,www.fiercepharma.com,https://www.fiercepharma.com/pharma,non-gambling,2026-04-26 12:02:31
4,www.fiercepharma.com,https://www.fiercepharma.com/vaccines,non-gambling,2026-04-26 12:02:37
5,www.fiercepharma.com,https://www.fiercepharma.com/asia,non-gambling,2026-04-26 12:02:59
6,www.fiercepharma.com,https://www.fiercepharma.com/keyword/cell-gene-therapy,non-gambling,2026-04-26 12:03:00
7,www.fiercepharma.com,https://www.fiercepharma.com/keyword/drug-delivery,non-gambling,2026-04-26 12:03:01
8,www.fiercepharma.com,https://www.fiercepharma.com/executives,non-gambling,2026-04-26 12:03:03
9,www.fiercepharma.com,https://www.fiercepharma.com/manufacturing,non-gambling,2026-04-26 12:03:04
10,www.fiercepharma.com,https://www.fiercepharma.com/facilites,non-gambling,2026-04-26 12:03:06
11,www.fiercepharma.com,https://www.fiercepharma.com/recalls,non-gambling,2026-04-26 12:03:07
12,www.fiercepharma.com,https://www.fiercepharma.com/warning-letters,non-gambling,2026-04-26 12:03:09
13,www.fiercepharma.com,https://www.fiercepharma.com/marketing,non-gambling,2026-04-26 12:03:12
14,www.fiercepharma.com,https://www.fiercepharma.com/special-reports,non-gambling,2026-04-26 12:03:13
15,www.fiercepharma.com,https://www.fiercepharma.com/collection/fierce-50-2025,non-gambling,2026-04-26 12:03:15
16,www.fiercepharma.com,https://www.fiercepharma.com/activation-center/oncology,non-gambling,2026-04-26 12:03:16
17,www.fiercepharma.com,https://www.fiercepharma.com/keyword/supply-chain,non-gambling,2026-04-26 12:03:18
18,www.fiercepharma.com,https://www.fiercepharma.com/ai-and-machine-learning,non-gambling,2026-04-26 12:03:19
19,www.fiercepharma.com,https://www.fiercepharma.com/resources,non-gambling,2026-04-26 12:03:21
20,www.fiercepharma.com,https://www.fiercepharma.com/podcasts,non-gambling,2026-04-26 12:03:22
21,www.fiercepharma.com,https://www.fiercepharma.com/resource/products/questex%20event,non-gambling,2026-04-26 12:03:25
22,www.fiercepharma.com,https://www.fiercepharma.com/resource/products/industry%20event,non-gambling,2026-04-26 12:03:26
23,www.fiercepharma.com,https://www.fiercepharma.com/resource/products/webinar,non-gambling,2026-04-26 12:03:27
24,www.fiercepharma.com,https://www.fiercepharma.com/resource/products/whitepaper,non-gambling,2026-04-26 12:03:29
25,www.fiercepharma.com,https://www.fiercepharma.com/resource/products/survey,non-gambling,2026-04-26 12:03:33
26,www.fiercepharma.com,https://www.fiercepharma.com/fiercepharmacom/fp-newsletters,non-gambling,2026-04-26 12:03:35
27,www.fiercepharma.com,https://www.fiercepharma.com/pharma/regeneron-ushers-new-genetic-medicine-era-groundbreaking-gene-therapy-approval,non-gambling,2026-04-26 12:03:36
28,www.fiercepharma.com,https://www.fiercepharma.com/person/darren-incorvaia,non-gambling,2026-04-26 12:03:37
29,www.fiercepharma.com,https://www.fiercepharma.com/pharma/oral-glp-1-tracker-launch-trajectories-lilly-foundayo-novo-wegovy-pill,non-gambling,2026-04-26 12:03:39
30,www.fiercepharma.com,https://www.fiercepharma.com/sponsored/brain-cancer-awareness-importance-molecular-testing-patients-rare-brain-tumors,non-gambling,2026-04-26 12:03:40
31,www.fiercepharma.com,https://www.fiercepharma.com/company/jazz-pharmaceuticals,non-gambling,2026-04-26 12:03:41
32,www.fiercepharma.com,https://www.fiercepharma.com/pharma/roche-q1-earnings-suffer-blood-bath-currency-headwinds-arent-only-culprit,non-gambling,2026-04-26 12:03:48
33,www.fiercepharma.com,https://www.fiercepharma.com/pharma/fda-snubs-abbvies-new-prospective-botox-offering-manufacturing-related-crl,non-gambling,2026-04-26 12:03:55
34,www.fiercepharma.com,https://www.fiercepharma.com/pharma/chmp-nod-sanofi-gains-long-awaited-win-tolebrutinib,non-gambling,2026-04-26 12:03:58
35,www.fiercepharma.com,https://www.fiercepharma.com/pharma/daiichi-pushes-back-annual-report-citing-reviews-amid-changing-business-conditions,non-gambling,2026-04-26 12:03:59
36,www.fiercepharma.com,https://www.fiercepharma.com/marketing/traveres-launchpad-positions-filspari-fast-rise-toward-blockbuster-sales-analyst,non-gambling,2026-04-26 12:04:00
37,www.fiercepharma.com,https://www.fiercepharma.com/pharma/can-trumps-deal-uk-become-model-similar-drug-price-agreements,non-gambling,2026-04-26 12:04:02
38,www.fiercepharma.com,https://www.fiercepharma.com/marketing/pfizer-drafts-fernando-mendoza-new-face-its-game-inches-cancer-campaign,non-gambling,2026-04-26 12:04:03
39,www.fiercepharma.com,https://www.fiercepharma.com/fiercepharmacom/rss-feeds,non-gambling,2026-04-26 12:04:21
40,www.fiercepharma.com,https://www.fiercepharma.com/person/angus-liu-0,non-gambling,2026-04-26 12:04:22
41,www.fiercepharma.com,https://www.fiercepharma.com/person/kevin-dunleavy-0,non-gambling,2026-04-26 12:04:28
42,www.fiercepharma.com,https://www.fiercepharma.com/sponsored/pharma-marketers-face-privacy-hurdles-turn-omnichannel-strategies,non-gambling,2026-04-26 12:04:35
43,www.fiercepharma.com,https://www.fiercepharma.com/company/swoop,non-gambling,2026-04-26 12:04:41
44,www.fiercepharma.com,https://www.fiercepharma.com/manufacturing/biovac-nets-108m-finance-package-build-africas-first-fully-integrated-vaccine-plant,non-gambling,2026-04-26 12:04:47
45,www.fiercepharma.com,https://www.fiercepharma.com/person/joseph-keenan,non-gambling,2026-04-26 12:04:49
46,www.fiercepharma.com,https://www.fiercepharma.com/pharma/sanofi-and-pfizer-deals-novavax-bets-amplification-strategy-drive-vaccines-engine,non-gambling,2026-04-26 12:04:55
47,www.fiercepharma.com,https://www.fiercepharma.com/marketing/sanofi-sanctioned-over-ceos-bold-claims-about-pfizer-vaccine,non-gambling,2026-04-26 12:05:01
48,www.fiercepharma.com,https://www.fiercepharma.com/marketing/pfizer-retains-top-spot-vaccine-rankings-sanofis-slide-sparks-code-red-call,non-gambling,2026-04-26 12:05:03
49,www.fiercepharma.com,https://www.fiercepharma.com/pharma/valneva-withdraws-chikungunya-vaccine-ixchiq-us-amid-new-fda-investigation,non-gambling,2026-04-26 12:05:09
50,www.fiercepharma.com,https://www.fiercepharma.com/pharma/fda-tells-sanofi-gsk-az-and-csl-include-warning-childhood-seizures-flu-shots,non-gambling,2026-04-26 12:05:11
